,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
0,Torgersen,39.1,18.7,181.0,3750.0,MALE
1,Torgersen,39.5,17.4,186.0,3800.0,FEMALE
2,Torgersen,40.3,18.0,195.0,3250.0,FEMALE
3,Torgersen,,,,,
4,Torgersen,36.7,19.3,193.0,3450.0,FEMALE
5,Torgersen,39.3,20.6,190.0,3650.0,MALE
6,Torgersen,38.9,17.8,181.0,3625.0,FEMALE
7,Torgersen,39.2,19.6,195.0,4675.0,MALE
8,Torgersen,34.1,18.1,193.0,3475.0,
9,Torgersen,42.0,20.2,190.0,4250.0,
10,Torgersen,37.8,17.1,186.0,3300.0,
11,Torgersen,37.8,17.3,180.0,3700.0,
12,Torgersen,41.1,17.6,182.0,3200.0,FEMALE
13,Torgersen,38.6,21.2,191.0,3800.0,MALE
14,Torgersen,34.6,21.1,198.0,4400.0,MALE
15,Torgersen,36.6,17.8,185.0,3700.0,FEMALE
16,Torgersen,38.7,19.0,195.0,3450.0,FEMALE
17,Torgersen,42.5,20.7,197.0,4500.0,MALE
18,Torgersen,34.4,18.4,184.0,3325.0,FEMALE
19,Torgersen,46.0,21.5,194.0,4200.0,MALE
20,Biscoe,37.8,18.3,174.0,3400.0,FEMALE
21,Biscoe,37.7,18.7,180.0,3600.0,MALE
22,Biscoe,35.9,19.2,189.0,3800.0,FEMALE
23,Biscoe,38.2,18.1,185.0,3950.0,MALE
24,Biscoe,38.8,17.2,180.0,3800.0,MALE
25,Biscoe,35.3,18.9,187.0,3800.0,FEMALE
26,Biscoe,40.6,18.6,183.0,3550.0,MALE
27,Biscoe,40.5,17.9,187.0,3200.0,FEMALE
28,Biscoe,37.9,18.6,172.0,3150.0,FEMALE
29,Biscoe,40.5,18.9,180.0,3950.0,MALE
30,Dream,39.5,16.7,178.0,3250.0,FEMALE
31,Dream,37.2,18.1,178.0,3900.0,MALE
32,Dream,39.5,17.8,188.0,3300.0,FEMALE
33,Dream,40.9,18.9,184.0,3900.0,MALE
34,Dream,36.4,17.0,195.0,3325.0,FEMALE
35,Dream,39.2,21.1,196.0,4150.0,MALE
36,Dream,38.8,20.0,190.0,3950.0,MALE
37,Dream,42.2,18.5,180.0,3550.0,FEMALE
38,Dream,37.6,19.3,181.0,3300.0,FEMALE
39,Dream,39.8,19.1,184.0,4650.0,MALE
40,Dream,36.5,18.0,182.0,3150.0,FEMALE
41,Dream,40.8,18.4,195.0,3900.0,MALE
42,Dream,36.0,18.5,186.0,3100.0,FEMALE
43,Dream,44.1,19.7,196.0,4400.0,MALE
44,Dream,37.0,16.9,185.0,3000.0,FEMALE
45,Dream,39.6,18.8,190.0,4600.0,MALE
46,Dream,41.1,19.0,182.0,3425.0,MALE
47,Dream,37.5,18.9,179.0,2975.0,
48,Dream,36.0,17.9,190.0,3450.0,FEMALE
49,Dream,42.3,21.2,191.0,4150.0,MALE
50,Biscoe,39.6,17.7,186.0,3500.0,FEMALE
51,Biscoe,40.1,18.9,188.0,4300.0,MALE
52,Biscoe,35.0,17.9,190.0,3450.0,FEMALE
53,Biscoe,42.0,19.5,200.0,4050.0,MALE
54,Biscoe,34.5,18.1,187.0,2900.0,FEMALE
55,Biscoe,41.4,18.6,191.0,3700.0,MALE
56,Biscoe,39.0,17.5,186.0,3550.0,FEMALE
57,Biscoe,40.6,18.8,193.0,3800.0,MALE
58,Biscoe,36.5,16.6,181.0,2850.0,FEMALE
59,Biscoe,37.6,19.1,194.0,3750.0,MALE
60,Biscoe,35.7,16.9,185.0,3150.0,FEMALE
61,Biscoe,41.3,21.1,195.0,4400.0,MALE
62,Biscoe,37.6,17.0,185.0,3600.0,FEMALE
63,Biscoe,41.1,18.2,192.0,4050.0,MALE
64,Biscoe,36.4,17.1,184.0,2850.0,FEMALE
65,Biscoe,41.6,18.0,192.0,3950.0,MALE
66,Biscoe,35.5,16.2,195.0,3350.0,FEMALE
67,Biscoe,41.1,19.1,188.0,4100.0,MALE
68,Torgersen,35.9,16.6,190.0,3050.0,FEMALE
69,Torgersen,41.8,19.4,198.0,4450.0,MALE
70,Torgersen,33.5,19.0,190.0,3600.0,FEMALE
71,Torgersen,39.7,18.4,190.0,3900.0,MALE
72,Torgersen,39.6,17.2,196.0,3550.0,FEMALE
73,Torgersen,45.8,18.9,197.0,4150.0,MALE
74,Torgersen,35.5,17.5,190.0,3700.0,FEMALE
75,Torgersen,42.8,18.5,195.0,4250.0,MALE
76,Torgersen,40.9,16.8,191.0,3700.0,FEMALE
77,Torgersen,37.2,19.4,184.0,3900.0,MALE
78,Torgersen,36.2,16.1,187.0,3550.0,FEMALE
79,Torgersen,42.1,19.1,195.0,4000.0,MALE
80,Torgersen,34.6,17.2,189.0,3200.0,FEMALE
81,Torgersen,42.9,17.6,196.0,4700.0,MALE
82,Torgersen,36.7,18.8,187.0,3800.0,FEMALE
83,Torgersen,35.1,19.4,193.0,4200.0,MALE
84,Dream,37.3,17.8,191.0,3350.0,FEMALE
85,Dream,41.3,20.3,194.0,3550.0,MALE
86,Dream,36.3,19.5,190.0,3800.0,MALE
87,Dream,36.9,18.6,189.0,3500.0,FEMALE
88,Dream,38.3,19.2,189.0,3950.0,MALE
89,Dream,38.9,18.8,190.0,3600.0,FEMALE
90,Dream,35.7,18.0,202.0,3550.0,FEMALE
91,Dream,41.1,18.1,205.0,4300.0,MALE
92,Dream,34.0,17.1,185.0,3400.0,FEMALE
93,Dream,39.6,18.1,186.0,4450.0,MALE
94,Dream,36.2,17.3,187.0,3300.0,FEMALE
95,Dream,40.8,18.9,208.0,4300.0,MALE
96,Dream,38.1,18.6,190.0,3700.0,FEMALE
97,Dream,40.3,18.5,196.0,4350.0,MALE
98,Dream,33.1,16.1,178.0,2900.0,FEMALE
99,Dream,43.2,18.5,192.0,4100.0,MALE
100,Biscoe,35.0,17.9,192.0,3725.0,FEMALE
101,Biscoe,41.0,20.0,203.0,4725.0,MALE
102,Biscoe,37.7,16.0,183.0,3075.0,FEMALE
103,Biscoe,37.8,20.0,190.0,4250.0,MALE
104,Biscoe,37.9,18.6,193.0,2925.0,FEMALE
105,Biscoe,39.7,18.9,184.0,3550.0,MALE
106,Biscoe,38.6,17.2,199.0,3750.0,FEMALE
107,Biscoe,38.2,20.0,190.0,3900.0,MALE
108,Biscoe,38.1,17.0,181.0,3175.0,FEMALE
109,Biscoe,43.2,19.0,197.0,4775.0,MALE
110,Biscoe,38.1,16.5,198.0,3825.0,FEMALE
111,Biscoe,45.6,20.3,191.0,4600.0,MALE
112,Biscoe,39.7,17.7,193.0,3200.0,FEMALE
113,Biscoe,42.2,19.5,197.0,4275.0,MALE
114,Biscoe,39.6,20.7,191.0,3900.0,FEMALE
115,Biscoe,42.7,18.3,196.0,4075.0,MALE
116,Torgersen,38.6,17.0,188.0,2900.0,FEMALE
117,Torgersen,37.3,20.5,199.0,3775.0,MALE
118,Torgersen,35.7,17.0,189.0,3350.0,FEMALE
119,Torgersen,41.1,18.6,189.0,3325.0,MALE
120,Torgersen,36.2,17.2,187.0,3150.0,FEMALE
121,Torgersen,37.7,19.8,198.0,3500.0,MALE
122,Torgersen,40.2,17.0,176.0,3450.0,FEMALE
123,Torgersen,41.4,18.5,202.0,3875.0,MALE
124,Torgersen,35.2,15.9,186.0,3050.0,FEMALE
125,Torgersen,40.6,19.0,199.0,4000.0,MALE
126,Torgersen,38.8,17.6,191.0,3275.0,FEMALE
127,Torgersen,41.5,18.3,195.0,4300.0,MALE
128,Torgersen,39.0,17.1,191.0,3050.0,FEMALE
129,Torgersen,44.1,18.0,210.0,4000.0,MALE
130,Torgersen,38.5,17.9,190.0,3325.0,FEMALE
131,Torgersen,43.1,19.2,197.0,3500.0,MALE
132,Dream,36.8,18.5,193.0,3500.0,FEMALE
133,Dream,37.5,18.5,199.0,4475.0,MALE
134,Dream,38.1,17.6,187.0,3425.0,FEMALE
135,Dream,41.1,17.5,190.0,3900.0,MALE
136,Dream,35.6,17.5,191.0,3175.0,FEMALE
137,Dream,40.2,20.1,200.0,3975.0,MALE
138,Dream,37.0,16.5,185.0,3400.0,FEMALE
139,Dream,39.7,17.9,193.0,4250.0,MALE
140,Dream,40.2,17.1,193.0,3400.0,FEMALE
141,Dream,40.6,17.2,187.0,3475.0,MALE
142,Dream,32.1,15.5,188.0,3050.0,FEMALE
143,Dream,40.7,17.0,190.0,3725.0,MALE
144,Dream,37.3,16.8,192.0,3000.0,FEMALE
145,Dream,39.0,18.7,185.0,3650.0,MALE
146,Dream,39.2,18.6,190.0,4250.0,MALE
147,Dream,36.6,18.4,184.0,3475.0,FEMALE
148,Dream,36.0,17.8,195.0,3450.0,FEMALE
149,Dream,37.8,18.1,193.0,3750.0,MALE
150,Dream,36.0,17.1,187.0,3700.0,FEMALE
151,Dream,41.5,18.5,201.0,4000.0,MALE
152,Dream,46.5,17.9,192.0,3500.0,FEMALE
153,Dream,50.0,19.5,196.0,3900.0,MALE
154,Dream,51.3,19.2,193.0,3650.0,MALE
155,Dream,45.4,18.7,188.0,3525.0,FEMALE
156,Dream,52.7,19.8,197.0,3725.0,MALE
157,Dream,45.2,17.8,198.0,3950.0,FEMALE
158,Dream,46.1,18.2,178.0,3250.0,FEMALE
159,Dream,51.3,18.2,197.0,3750.0,MALE
160,Dream,46.0,18.9,195.0,4150.0,FEMALE
161,Dream,51.3,19.9,198.0,3700.0,MALE
162,Dream,46.6,17.8,193.0,3800.0,FEMALE
163,Dream,51.7,20.3,194.0,3775.0,MALE
164,Dream,47.0,17.3,185.0,3700.0,FEMALE
165,Dream,52.0,18.1,201.0,4050.0,MALE
